tile,dither,fiber,fiber_ra,fiber_dec,objI,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjI,Spec_ra,Spec_dec,Specz,Specz_err,cluster,Q,redshift,redshift_err,separation,interloper,LOSV
NW,3.0,168.0,210.244775519,2.88522236111,1.23765175456e+18,210.245102904,2.88538268262,20.74727,0.1558736,19.66276,0.02766272,18.6109,0.01628306,18.15853,0.01738397,17.75087,0.04193227,0.278924,0.052464,,,,,,c210p27+2p87,0.0,0.23212,0.00014,0.196826771358,YES,-5476.77783975
NW,3.0,211.0,210.243775527,2.87994458333,1.23765175456e+18,210.244272438,2.87974171048,22.95171,0.7514054,20.8897,0.05401144,20.02344,0.03767372,19.59311,0.04016304,19.41142,0.1249846,0.085074,0.023929,,,,,,c210p27+2p87,1.0,0.14634,0.00018,0.128746062033,YES,-25911.8182554
SE,1.0,90.0,210.260650547,2.86800013889,1.23765175456e+18,210.260903564,2.86783258705,24.64022,1.341563,20.7408,0.03587573,19.18736,0.01479985,18.68748,0.01457124,18.3381,0.03604384,0.266596,0.023725,,,,,,c210p27+2p87,1.0,0.26391,0.00019,0.161430490501,YES,2096.4319389
SE,1.0,234.0,210.258608909,2.85072236111,1.23765175456e+18,210.258403719,2.85106595348,22.28956,0.3481725,21.80388,0.09532447,21.20075,0.08272,21.13098,0.1213651,20.52976,0.2689603,0.311451,0.040435,,,,,,c210p27+2p87,1.0,0.28295,0.00018,0.422736327147,YES,6632.25811649
SE,2.0,56.0,210.278608873,2.87255569444,1.23765175456e+18,210.278242694,2.87213461819,21.17622,0.2600035,19.42753,0.02489504,17.90331,0.01046205,17.37778,0.01036971,17.09894,0.02649137,0.261433,0.021634,4.54090614636e+18,210.27824,2.8721321,0.256097,4.255329e-05,c210p27+2p87,1.0,0.22489,0.00016,0.273510129387,YES,-7199.15301118
SE,2.0,72.0,210.281692209,2.87086125,1.23765175456e+18,210.282022765,2.87117884609,23.24526,0.7697133,21.68611,0.08470777,20.07825,0.03130935,19.59173,0.03148752,19.23747,0.08336867,0.32678,0.027455,,,,,,c210p27+2p87,0.0,0.3193,0.00017,0.417064340627,YES,15291.7792066
SE,3.0,103.0,210.257650552,2.86505569444,1.23765175456e+18,210.257893134,2.86459250056,23.02823,0.6303886,21.11085,0.05074478,19.79858,0.0244269,19.33108,0.02495205,19.06608,0.07035179,0.227115,0.023432,,,,,,c210p27+2p87,1.0,0.24366,0.00014,0.19239741985,YES,-2727.64789808
SE,3.0,127.0,210.276608888,2.86344458333,1.23765175456e+18,210.276963262,2.86355167787,22.22879,0.3831518,20.90212,0.05100262,19.57818,0.02415393,19.0854,0.02434426,18.71906,0.06255233,0.28292,0.057242,,,,,,c210p27+2p87,1.0,0.27265,0.00015,0.359830586635,YES,4178.52861916
SW,1.0,57.0,210.254692205,2.87316680556,1.23765175456e+18,210.254468875,2.87297661962,22.74224,0.6609386,21.32636,0.08057564,20.15253,0.04359755,19.82524,0.05041644,19.63846,0.1584338,0.264301,0.081457,,,,,,c210p27+2p87,0.0,0.16149,0.00019,0.0667314859887,YES,-22302.6918588
SW,1.0,144.0,210.254775556,2.86283347222,1.23765175456e+18,210.254931814,2.86267302213,23.73677,1.073103,21.56946,0.07686112,20.00537,0.0296869,19.46104,0.02853165,19.05113,0.07188447,0.276914,0.031848,,,,,,c210p27+2p87,0.0,0.26697,0.00025,0.238908417047,NO,2825.40400316
SW,2.0,58.0,210.255733873,2.87255569444,1.23765175456e+18,210.255325327,2.87267413191,22.8399,0.5297167,21.51468,0.07050988,20.96265,0.06390987,20.77899,0.08423697,20.46457,0.2399573,0.121504,0.037723,,,,,,c210p27+2p87,1.0,0.25812,0.00012,0.0937216505753,NO,717.102444771
SW,2.0,65.0,210.240692209,2.87083347222,1.23765175456e+18,210.240843692,2.87033649105,23.45367,0.9444553,21.81445,0.1018697,20.18229,0.03733844,19.60219,0.03441897,19.32666,0.09842727,0.40286,0.089357,,,,,,c210p27+2p87,1.0,0.41272,0.00018,0.37785484878,YES,37546.8675212
SW,2.0,98.0,210.248692215,2.86744458333,1.23765175456e+18,210.249178487,2.86719091464,24.08243,1.370592,20.8199,0.04330232,19.31438,0.01835618,18.80906,0.01814521,18.47118,0.04674881,0.260804,0.018576,,,,,,c210p27+2p87,1.0,0.25488,0.00022,0.206612770175,NO,-54.7503291462
SW,2.0,148.0,210.232692226,2.86050013889,1.23765175456e+18,210.232836834,2.86008175775,23.29377,0.801672,21.99943,0.1149024,21.24128,0.08934915,21.11931,0.1255617,20.73693,0.3322166,0.183666,0.088822,,,,,,c210p27+2p87,1.0,0.15483,0.00025,0.302824970121,YES,-23889.2781163
SW,2.0,231.0,210.253775574,2.85191680556,1.23765175456e+18,210.253977876,2.85194009666,24.0385,1.054767,21.96542,0.09118594,20.54854,0.04056446,19.91795,0.03596851,19.52956,0.09376081,0.370972,0.098412,,,,,,c210p27+2p87,1.0,0.33287,0.00013,0.463196806986,YES,18524.5082628
SW,3.0,128.0,210.251775555,2.86347236111,1.23765175456e+18,210.252207727,2.86380967625,21.71989,0.3380167,19.84392,0.02893866,18.25449,0.01169697,17.69264,0.0111713,17.37553,0.02781057,0.275845,0.016116,4.54439434696e+18,210.2522,2.8638091,0.2792997,3.478571e-05,c210p27+2p87,1.0,0.26279,0.00032,0.231819247245,NO,1829.61863434
SW,3.0,169.0,210.24681723,2.85830569444,1.23765175456e+18,210.246836983,2.85789683987,22.20681,0.6459318,21.48023,0.1442983,21.06591,0.1574816,20.48075,0.1436606,20.34107,0.4770843,0.412888,0.096995,,,,,,c210p27+2p87,1.0,0.40346,0.00012,0.457756384298,YES,35340.8932353
SW,3.0,187.0,210.253775566,2.85661125,1.23765175456e+18,210.253467624,2.8565534906,21.95955,0.2456893,21.09127,0.04854084,20.68246,0.05044444,20.5636,0.06966009,20.54577,0.2569429,0.060382,0.053187,,,,,,c210p27+2p87,1.0,0.16283,0.00011,0.22635785252,YES,-21983.468798
SW,3.0,202.0,210.254692236,2.85480569444,1.23765175456e+18,210.255129098,2.85446787154,24.45462,1.563579,21.34232,0.06897295,19.94644,0.03058611,19.46167,0.03146514,19.17105,0.08731139,0.220575,0.016205,,,,,,c210p27+2p87,0.0,0.23554,0.00016,0.326597209877,YES,-4662.04435617
SW,3.0,246.0,210.255775577,2.84969458333,1.23765175456e+18,210.25570952,2.84988861842,21.99806,0.3029603,21.03214,0.05513306,20.00749,0.03337928,19.90373,0.0476731,19.87548,0.1785676,0.26885,0.115049,,,,,,c210p27+2p87,1.0,0.22066,0.00013,0.36848279174,YES,-8206.84968824
